name,code,lines,operator,type,authority,opened,lat,lon,url,coord_source
Sentul (KTM),KC01,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Kuala Lumpur,1995,3.182611,101.688806,https://en.wikipedia.org/wiki/Sentul_Komuter_station,wikipedia
Sentul (LRT),AG2     SP2,3   Ampang Line 4   Sri Petaling Line,Rapid Rail,LRT,Kuala Lumpur,11 July 1998,3.17833,101.69528,https://en.wikipedia.org/wiki/Sentul_LRT_station,wikipedia
Sentul Barat,PY16,12   Putrajaya Line,Rapid Rail,MRT,Kuala Lumpur,16 March 2023,3.1788074,101.6851789,https://en.wikipedia.org/wiki/Sentul_Barat_MRT_station,osm
Sentul Timur,AG1     SP1,3   Ampang Line 4   Sri Petaling Line,Rapid Rail,LRT,Kuala Lumpur,11 July 1998,3.1859371,101.695354,https://en.wikipedia.org/wiki/Sentul_Timur_LRT_station,wikipedia
Seputeh,KB02,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Kuala Lumpur,1995,3.11361,101.68139,https://en.wikipedia.org/wiki/Seputeh_Komuter_station,wikipedia
Serdang,KB05,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Subang Jaya,1995,3.02333,101.71611,https://en.wikipedia.org/wiki/Serdang_Komuter_station,wikipedia
Serdang Jaya,PY33,12   Putrajaya Line,Rapid Rail,MRT,Subang Jaya,16 March 2023,3.0214905,101.708945,https://en.wikipedia.org/wiki/Serdang_Jaya_MRT_station,osm
Serdang Raya Selatan,PY32,12   Putrajaya Line,Rapid Rail,MRT,Subang Jaya,16 March 2023,3.0284,101.7074,https://en.wikipedia.org/wiki/Serdang_Raya_Selatan_MRT_station,wikipedia
Serdang Raya Utara,PY31,12   Putrajaya Line,Rapid Rail,MRT,Subang Jaya,16 March 2023,3.0417,101.7048,https://en.wikipedia.org/wiki/Serdang_Raya_Utara_MRT_station,wikipedia
Seremban,KB14,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Seremban,1995,2.71889,101.94056,https://en.wikipedia.org/wiki/Seremban_railway_station,wikipedia
Serendah,KA11,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Hulu Selangor,21 April 2007,3.37583,101.61472,https://en.wikipedia.org/wiki/Serendah_Komuter_station,wikipedia
Seri Andalas,SA22,11   Shah Alam Line,Rapid Rail,LRT,Klang,29 June 2026,3.0161014,101.4407696,https://en.wikipedia.org/wiki/Seri_Andalas_LRT_station,osm
Seri Setia,KD07,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Petaling Jaya,14 August 1995,3.0845126,101.6219552,https://en.wikipedia.org/wiki/Seri_Setia_Komuter_station,osm
Setia Jaya (Sunway-Setia Jaya),KD08     SB1,2   Tanjung Malim–Port Klang Line B1   BRT Sunway Line,KTM Rapid Bus,Commuter rail BRT,Petaling Jaya,14 August 1995 (KTM Komuter) 2 June 2015 (BRT),3.08306,101.61111,https://en.wikipedia.org/wiki/Setia_Jaya_station,wikipedia
Setiawangsa,KJ5,5   Kelana Jaya Line,Rapid Rail,LRT,Ampang Jaya,1 June 1999,3.1757139,101.7358583,https://en.wikipedia.org/wiki/Setiawangsa_LRT_station,wikipedia
Shah Alam,KD11,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Shah Alam,14 August 1995,3.056389,101.525556,https://en.wikipedia.org/wiki/Shah_Alam_Komuter_station,wikipedia
South Quay-USJ 1,SB6,B1   BRT Sunway Line,Rapid Bus,BRT,Subang Jaya,2 June 2015,3.061569,101.596649,https://en.wikipedia.org/wiki/South_Quay-USJ_1_BRT_station,wikipedia
Sri Damansara Barat,PY06,12   Putrajaya Line,Rapid Rail,MRT,Petaling Jaya,16 June 2022,3.1982288,101.6084105,https://en.wikipedia.org/wiki/Sri_Damansara_Barat_MRT_station,osm
Sri Damansara Sentral,PY07,12   Putrajaya Line,Rapid Rail,MRT,Petaling Jaya,16 June 2022,3.19861,101.621278,https://en.wikipedia.org/wiki/Sri_Damansara_Sentral_MRT_station,wikipedia
Sri Damansara Timur,PY08,12   Putrajaya Line,Rapid Rail,MRT,Petaling Jaya,16 June 2022,3.2075754,101.6285855,https://en.wikipedia.org/wiki/Sri_Damansara_Timur_MRT_station,osm
Sri Delima,PY12,12   Putrajaya Line,Rapid Rail,MRT,Kuala Lumpur,16 June 2022,3.2072,101.6654,https://en.wikipedia.org/wiki/Sri_Delima_MRT_station,wikipedia
Sri Petaling,SP18,4   Sri Petaling Line,Rapid Rail,LRT,Kuala Lumpur,11 July 1998,3.06139,101.68694,https://en.wikipedia.org/wiki/Sri_Petaling_LRT_station,wikipedia
